State,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,9135,2130,2948,3761,3470,3767,3069,2936,31216
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,398,38,27,13,19,54,25,18,592
BIHAR,4493,288,297,254,176,163,352,417,6440
GOA,1,0,8,7,0,2,1,0,19
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,2389,1371,712,639,454,372,299,178,6414
HIMACHAL PRADESH,166,25,9,5,7,10,2,6,230
JAMMU & KASHMIR,83,5,2,0,3,0,4,0,97
KARNATAKA,25538,12293,14016,18634,21339,20540,16183,22039,150582
KERALA,29,19,49,14,34,12,25,16,198
MADHYA PRADESH,7859,1962,1934,1571,3445,2681,2581,2418,24451
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,3,0,0,0,0,0,0,4,7
MIZORAM,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAGALAND,0,0,2,0,0,0,1,0,3
ORISSA,2344,155,73,71,89,66,57,56,2911
PUNJAB,720,198,254,368,287,134,153,163,2277
RAJASTHAN,1919,601,1094,923,1581,1822,2284,2326,12550
SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,14582,2752,2684,3209,2844,2306,1288,3301,32966
TRIPURA,65,8,6,4,12,13,10,13,131
UTTAR PRADESH,8169,681,614,807,495,263,231,365,11625
WEST BENGAL,2787,125,82,80,122,195,241,407,4039
ANDAMAN & NICOBARS,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,157,80,65,50,116,91,78,54,691
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,170,16,29,47,49,39,31,37,418
